id,name,active,plan_id/id,company_id/id,partner_id/id
account_analytic_account_caw_5490,CAW-5490,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_cba_4688,CBA-4688,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_cbd_5445,CBD-5445,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_cbg_0413,CBG-0413,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_cpump_inst,CPUMP-INST,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_csr_pr,CSR-PR,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_dad_0575,DAD-0575,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_drip_ir,DRIP-IR,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_fg_ba_06,FG-BA-06,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_fg_ba_co,FG-BA-CO,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_fg_bj_bl,FG-BJ-BL,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_fg_bj_cf,FG-BJ-CF,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_fg_bj_ci,FG-BJ-CI,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_fg_bj_cm,FG-BJ-CM,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_fg_bj_co,FG-BJ-CO,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_fg_bj_cp,FG-BJ-CP,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_fg_bj_gs,FG-BJ-GS,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_fg_bj_ir,FG-BJ-IR,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_fg_bj_mg,FG-BJ-MG,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_fg_bj_mx,FG-BJ-MX,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_fg_bj_sl,FG-BJ-SL,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_fg_bj_th,FG-BJ-TH,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_fg_bj_wh,FG-BJ-WH,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_fg_bo_08,FG-BO-08,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_fg_db_15,FG-DB-15,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_fg_di_05,FG-DI-05,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_fg_do_01,FG-DO-01,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_fg_en_30,FG-EN-30,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_fg_ge_25,FG-GE-25,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
