id,name,currency_id/id,code,account_type,include_initial_balance,internal_group,reconcile,company_id/id,create_asset,multiple_assets_per_line
account_account_demonstration_expenses,DEMONSTRATION EXPENSES,base.LKR,72030490,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_inventory_slow_moving,INVENTORY - SLOW MOVING,base.LKR,72030510,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_tax_written_off,TAX WRITTEN OFF,base.LKR,72030530,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_legal_expenses,LEGAL EXPENSES,base.LKR,72030550,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_bad_debts,BAD DEBTS,base.LKR,72030570,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_expenses_vehicle_hiring,EXPENSES - VEHICLE HIRING,base.LKR,72030590,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_miscellaneous_write_off,MISCELLANEOUS WRITE OFF,base.LKR,72030610,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_defeerred_tax_expenses,DEFEERRED TAX EXPENSES,base.LKR,72030630,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_nation_building_tax,NATION BUILDING TAX,base.LKR,72030650,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_audit_fees,AUDIT FEES,base.LKR,72030670,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_projects_accrued_income,PROJECTS ACCRUED INCOME,base.LKR,72030690,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_repairs_tractors,REPAIRS - TRACTORS,base.LKR,72030710,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_repairs_threshers,REPAIRS - THRESHERS,base.LKR,72030730,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_repairs_machines,REPAIRS - MACHINES,base.LKR,72030750,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_profit_loss_appropriation,PROFIT & LOSS APPROPRIATION,base.LKR,72030770,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_expenses_new_products_services,EXPENSES - NEW PRODUCTS & SERVICES,base.LKR,72030790,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_material_consumption_projects,MATERIAL CONSUMPTION - PROJECTS,base.LKR,72030810,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_value_added_tax,VALUE ADDED TAX,base.LKR,72030830,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_social_responsibility_levy,SOCIAL RESPONSIBILITY LEVY,base.LKR,72030850,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_professional_management_fee,PROFESSIONAL & MANAGEMENT FEE,base.LKR,72040010,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_r_u_g_repairs_under_guarantee,R.U.G. - REPAIRS UNDER GUARANTEE,base.LKR,72050010,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_maintenance_ofice_equipment,MAINTENANCE - OFICE EQUIPMENT,base.LKR,72080010,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_maintenance_fixtures_fittings,MAINTENANCE - FIXTURES & FITTINGS,base.LKR,72080030,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_maintenance_furniture,MAINTENANCE - FURNITURE,base.LKR,72080050,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_maintenance_dimo_machinary,MAINTENANCE - DIMO MACHINARY,base.LKR,72080070,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
